,Month,cpo_pri
350,2021-11,918
351,2021-12,1016
352,2021-01,990
353,2021-02,1020
354,2021-03,1030
355,2021-04,1078
356,2021-05,1120
357,2021-06,1004
358,2021-07,1063
359,2021-08,1136
