date,cpo_pri,cno_pri,exmaus,oli_pri,rps_pri,pno_pri,sbo_pri,sfo_pri,wti_spri,tmax_degC,tmin_degC,srad,q_mm,humidity
1/1/15,615,718,2.2659,4973.13,738.57,990.0,638.0,666.0,51.91,30.51,20.23,222.17301,3.1,73.85483871
2/1/15,607,750,2.2431,5082.29,773.72,995.0,623.0,669.0,49.45,30.93,20.88,221.87693,113.4,67.64285714
3/1/15,590,718,2.2833,5002.53,828.42,988.0,579.0,666.0,50.11,31.69,21.09,218.98813,172.2,73.38709677
4/1/15,535,711,2.2585,5509.12,829.91,959.0,554.0,722.0,54.11,32.02,21.29,203.96801,141.9,73.16666667
5/1/15,518,738,2.2803,6067.63,820.58,925.0,548.0,730.0,51.62,31.8,20.1,226.64624,48.6,72.14516129
6/1/15,519,723,2.4149,6032.36,809.12,911.0,538.0,719.0,52.32,31.71,20.33,193.53314,5.2,69.83333333
7/1/15,562,756,2.5139,5909.79,785.73,895.0,582.0,709.0,56.57,30.84,19.9,200.88716,192.1,65.32258065
8/1/15,552,778,2.5501,5906.63,784.4,897.0,591.0,713.0,55.55,31.12,20.57,190.24424,83.9,67.48387097
9/1/15,508,816,2.5687,6014.78,822.39,904.0,563.0,755.0,56.08,30.46,20.8,175.43217,274.2,68.1
10/1/15,476,775,2.5689,5903.83,854.31,902.0,549.0,831.0,58.66,31.57,21.64,182.59414,200.6,68.08064516
11/1/15,513,742,2.586,5811.23,823.02,885.0,565.0,916.0,57.01,29.89,20.42,172.64741,144.3,74.45
12/1/15,545,721,2.5842,5925.11,790.39,879.0,569.0,999.0,50.14,28.44,19.63,195.32564,94.4,74.14516129
1/1/16,532,722,2.5643,6023.87,771.51,874.0,528.0,1114.0,46.67,30.01,20.17,210.73787,3.2,71.17741935
2/1/16,550,760,2.561,6235.91,808.43,868.0,517.0,1279.0,45.91,31.68,20.79,241.17823,5.1,69.65517241
3/1/16,561,777,2.562,6241.91,844.71,868.0,514.0,1358.0,46.93,32.69,21.05,232.76792,4.1,67.09677419
4/1/16,567,768,2.5589,6225.94,867.68,874.0,534.0,1401.0,41.73,32.27,21.25,207.04085,129.4,72.31666667
5/1/16,580,768,2.5544,5202.66,925.81,886.0,527.0,1469.0,45.32,32.0,20.61,187.31544,3.8,72.4516129
6/1/16,559,737,2.5266,4815.96,958.29,896.0,541.0,1709.0,45.77,31.91,20.63,181.30579,9.8,65.36666667
7/1/16,562,710,2.4953,4235.24,1044.75,938.0,541.0,1839.0,47.31,31.35,20.55,180.30551,72.4,68.37096774
8/1/16,553,654,2.5155,4246.53,1146.97,981.0,541.0,1863.0,46.96,31.37,20.97,165.28539,102.8,61.98387097
9/1/16,533,637,2.5269,3452.36,1252.43,1047.0,550.0,1838.0,50.3,30.6,20.8,158.57955,258.1,61.56666667
10/1/16,498,597,2.5308,3760.36,1336.75,1096.0,535.0,1962.0,54.06,31.67,21.64,141.75893,317.1,63.53225806
11/1/16,504,567,2.5285,3607.56,1390.42,1093.0,544.0,2045.0,53.14,30.43,20.36,171.39907,126.8,74.95
12/1/16,525,615,2.5178,3839.11,1429.55,1083.0,555.0,1692.0,57.51,30.63,20.54,195.2056,74.8,73.66129032
1/1/17,547,627,2.4994,3914.95,1510.12,1083.0,611.0,1319.0,60.38,30.46,21.41,201.23926,41.2,75.27419355
2/1/17,556,616,2.4905,3881.83,1471.49,1090.0,676.0,1176.0,64.54,31.43,21.18,240.79412,16.0,73.92857143
3/1/17,566,586,2.4811,3655.3,1524.95,1058.0,622.0,950.0,62.71,31.79,21.54,207.36894,107.0,73.96774194
4/1/17,621,558,2.4842,3475.1,1591.88,1055.0,625.0,835.0,63.18,31.77,21.3,212.11425,62.3,74.43333333
