date,cpo_pri,cno_pri,exmaus,oli_pri,rps_pri,pno_pri,sbo_pri,sfo_pri,wti_spri,tmax_degC,tmin_degC,ppt_mm,pet_mm,ws_mps,srad,q_mm,maxtempC,mintempC,sunHour,uvIndex,moon_illumination,DewPointC,FeelsLikeC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
4/1/12,410,444,2.8213,2757.83,612.27,621,444,628,31.03,31.73,21.34,281.4,107.6,1.1,184.91478,173.8,32.73333333,22.9,11.04,6.533333333,50.2,23.05,32.48333333,28.06666667,6.55,37.58333333,76,0.848333333,1009.333333,28.06666667,9.183333333,210.6666667,4.633333333
5/1/12,425,439,2.8189,2587.66,582.56,611,433,660,33.23,31.9,21.05,173.1,112.3,1.37,204.00802,60.8,33.61290323,22.83870968,11.37419355,6.903225806,50.93548387,22.66129032,32.80645161,28.59677419,6.048387097,30.20967742,73.16129032,0.701612903,1008.33871,28.59677419,9.290322581,197.3709677,4.274193548
6/1/12,408,427,2.7842,2628.83,553.48,602,438,689,30.84,31.46,20.48,107.2,108.3,1.48,184.81875,5.4,33.63333333,22.53333333,11.50666667,7.1,50.4,21.7,31.83333333,28.41666667,7.266666667,23.33333333,70.46666667,0.381666667,1008.566667,28.41666667,9.45,208.4833333,5.333333333
7/1/12,392,402,2.7758,2783.9,564.09,623,448,731,26.02,31.1,20.45,163.1,121.3,1.84,213.05851,37.7,33.12903226,22.90322581,11.41935484,6.838709677,51.61290323,21.87096774,31.91935484,28.40322581,7.693548387,28.53225806,70.93548387,0.383870968,1008.467742,28.33870968,9.225806452,179.3709677,5.629032258
8/1/12,371,418,2.7693,2787.13,615.82,685,448,712,24.29,31.37,20.48,212.3,105.5,1.39,191.5486,106.8,33.41935484,22.58064516,11.37419355,6.967741935,52,22,32.09677419,28.41935484,6.983870968,27.75806452,71.08064516,0.532258065,1009.532258,28.38709677,9.274193548,171.8064516,5.096774194
9/1/12,356,436,2.773,2721.53,620.32,712,461,696,26.33,30.7,20.75,392.8,98,1.39,169.3425,294.8,32.76666667,22.8,11.22666667,6.933333333,50.83333333,21.91666667,31.66666667,28.13333333,6.7,35.65,70.96666667,0.666666667,1009.766667,28.11666667,9.133333333,207.95,4.883333333
10/1/12,362,460,2.7682,2694.24,648.67,773,505,684,27.04,31.22,21.74,345.6,96.4,1.1,173.95977,249.2,32.80645161,22.93548387,10.71935484,6.709677419,52.12903226,22.53225806,31.91935484,28.11290323,6.274193548,38.9516129,74.40322581,0.456451613,1009.306452,28.11290323,9.064516129,187.5806452,4.532258065
11/1/12,356,455,2.8146,2685.46,675.49,858,483,632,28.36,30.54,20.46,304.7,101.2,1.47,178.38498,203.5,31.6,22.93333333,10.47333333,6.233333333,50.56666667,23.58333333,31.81666667,27.48333333,5.35,46.41666667,80.96666667,0.846666667,1008.866667,27.48333333,7.76019188,193.4833333,4.016666667
12/1/12,352,424,2.8149,2743.6,704.51,845,489,624,25.21,29.88,20.33,265.3,112.6,1.68,203.81597,152.7,31.51612903,22.87096774,10.33548387,6.225806452,51.48387097,23.35483871,31.58064516,27.38709677,4.887096774,50.27419355,81.01612903,0.362903226,1008.709677,27.38709677,7.76019188,113.3225806,3.306451613
1/1/13,333,419,2.6602,2706.44,687.6,807,491,632,25.93,30.56,21.12,110.5,110.3,1.59,217.47572,5.5,32.29032258,22.58064516,10.56129032,6.419354839,51,22.43548387,31.30645161,27.62903226,6.080645161,42.74193548,76.20967742,0.258064516,1010.387097,27.62903226,8.483870968,139.1612903,4.370967742
2/1/13,357,464,2.505,2665.22,644.98,808,536,657,26.57,32.17,20.59,206,131.4,1.19,231.43955,71.2,31.57142857,22.46428571,10.1,6.142857143,48.92857143,23.10714286,31.28571429,27.28571429,5.392857143,52.08928571,80.33928571,0.569642857,1009.410714,27.28571429,7.76019188,121.1964286,3.803571429
3/1/13,411,615,2.481,2681.78,700.61,924,589,701,26.15,31.69,21.29,280.2,117.6,1.26,207.40895,162.6,33.74193548,22.90322581,11.41935484,6.677419355,50.96774194,23.17741935,33.40322581,28.67741935,5.483870968,30.66129032,75.01612903,0.664516129,1009.790323,28.67741935,9.290322581,129.3387097,3.887096774
4/1/13,404,595,2.4793,2686.82,699.96,993,602,727,27.15,32.02,21.29,194.9,117.7,1.04,205.71249,77.2,34,23.4,11.18,7.2,50.23333333,23.3,33.63333333,29.06666667,6.266666667,35.13333333,73.71666667,0.596666667,1008.266667,29.06666667,9.083333333,225.65,4.633333333
5/1/13,387,573,2.4479,2661.5,650.92,1011,577,724,27.47,31.7,20.65,86.1,118.9,1.44,217.87583,4.3,33.87096774,23.41935484,11.10322581,7.258064516,50.41935484,23,33.24193548,28.9516129,6.532258065,36.77419355,73.22580645,0.470967742,1008.322581,28.9516129,9.016129032,197.2580645,4.661290323
