date,cpo_pri,cno_pri,oli_pri,rps_pri,pno_pri,sbo_pri,sfo_pri,cpo_pri_lag_12,cpo_pri_lag_11,cpo_pri_lag_10,cpo_pri_lag_9
3/1/17,566,586,3655.3,1524.95,1058,622,950,561,567,580,559
4/1/17,621,558,3475.1,1591.88,1055,625,835,567,580,559,562
5/1/17,659,559,3164,1549.44,1029,634,759,580,559,562,553
6/1/17,671,578,3106.16,1352.83,949,652,817,559,562,553,533
7/1/17,688,618,3093.11,1238.29,928,662,805,562,553,533,498
8/1/17,705,723,3160.63,1040.68,900,671,757,553,533,498,504
9/1/17,633,652,3184.11,974.82,891,629,843,533,498,504,525
11/1/17,674,667,3148.39,831.74,862,592,907,504,525,547,556
12/1/17,703,652,3293.41,802.4,852,615,804,525,547,556,566
1/1/18,694,695,3346.8,776.9,850,614,820,547,556,566,621
2/1/18,681,752,3281.72,830.19,862,614,809,556,566,621,659
3/1/18,663,774,3299.12,947.07,861,591,846,566,621,659,671
4/1/18,632,763,3260.92,917.18,952.71,541.63,921,621,659,671,688
6/1/18,497,700,3767.08,884.24,752.45,444.36,968,671,688,705,633
7/1/18,509,827,3824.25,855.36,663.89,442.68,948,688,705,633,661
8/1/18,475,874,3876.89,894.11,762.17,421.5,949,705,633,661,674
10/1/18,319,656,3658.97,938.29,859.8,391.4,910,661,674,703,694
11/1/18,354,684,3736.3,914.09,849.78,412.37,889,674,703,694,681
11/1/18,354,684,3736.3,914.09,849.78,412.37,889,663,632,561,497
3/1/19,354,703,3299.71,862.49,765.61,374.67,1284,674,703,694,681
3/1/19,354,703,3299.71,862.49,765.61,374.67,1284,663,632,561,497
12/1/18,388,704,3773.36,900.93,848.78,413.93,937,703,694,681,663
1/1/19,381,690,3852.53,910.08,888.15,399.53,1074,694,681,663,632
2/1/19,370,703,3709.49,909.13,924.94,387.31,1114,681,663,632,561
4/1/19,348,654,3553.8,876.07,676.08,369.79,1441,632,561,497,509
5/1/19,332,591,3488.13,946.76,687.63,357.94,1454,561,497,509,475
6/1/19,349,552,3443.88,1012.94,733.28,363.49,1492,497,509,475,392
7/1/19,372,550,3404.1,1032.57,789.81,366.24,1704.74,509,475,392,319
8/1/19,324,481,3243.64,1149.51,793.66,337.97,1636.96,475,392,319,354
9/1/19,315,437,2970.88,1242.32,783.14,330.17,1634.05,392,319,354,388
10/1/19,312,400,2669.99,1382.99,771.62,339.3,1644.09,319,354,388,381
11/1/19,306,371,2666.9,1440.75,754.36,328.92,1699.32,354,388,381,370
12/1/19,288,332,2567.81,1403.14,760.59,312.49,1672.38,388,381,370,354
1/1/20,255,340,2598.36,1411.8,754.58,314.02,1671.3,381,370,354,348
1/1/20,255,340,2598.36,1411.8,754.58,314.02,1671.3,315,312,306,288
9/1/20,255,317,2536.49,1273.54,727.53,286.89,1551.9,381,370,354,348
9/1/20,255,317,2536.49,1273.54,727.53,286.89,1551.9,315,312,306,288
2/1/20,257,367,2552.18,1447.42,769.61,316.78,1591.59,370,354,348,332
3/1/20,265,329,2601.72,1406.76,806.79,320.57,1483.81,354,348,332,349
4/1/20,254,319,2624.08,1401.82,815.71,304.81,1502.5,348,332,349,372
4/1/20,254,319,2624.08,1401.82,815.71,304.81,1502.5,349,372,324,315
6/1/20,254,289,2565.32,1350.5,780.64,327.63,1451.82,348,332,349,372
6/1/20,254,289,2565.32,1350.5,780.64,327.63,1451.82,349,372,324,315
5/1/20,240,285,2552.27,1392.95,811.08,303.78,1439.77,332,349,372,324
7/1/20,251,293,2597.95,1309.99,744.85,326.01,1485,372,324,315,312
8/1/20,234,295,2581.68,1270.51,727.53,295.17,1500.68,324,315,312,306
10/1/20,330,358,2559.12,1244.66,723.02,421.36,1522.17,312,306,288,255
12/1/20,310,322,2736.64,1287.68,749.57,385.09,1472.27,288,255,257,265
1/1/21,277,307,2842.81,1289.12,761.6,373.03,1525.43,255,257,265,254
3/1/21,360,339,2847.84,1234.88,771.62,396.87,1302.61,265,254,240,254
