date,cpo_pri,cno_pri,oli_pri,rps_pri,pno_pri,sbo_pri,sfo_pri,wti_spri,srad,q_mm,humidity
2016-09-01,533,637,3452.36,1252.43,1047,550,1838,50.3,158.57955,258.1,61.56666667
2016-10-01,498,597,3760.36,1336.75,1096,535,1962,54.06,141.75893,317.1,63.53225806
2016-11-01,504,567,3607.56,1390.42,1093,544,2045,53.14,171.39907,126.8,74.95
2016-12-01,525,615,3839.11,1429.55,1083,555,1692,57.51,195.2056,74.8,73.66129032
2017-01-01,547,627,3914.95,1510.12,1083,611,1319,60.38,201.23926,41.2,75.27419355
2017-02-01,556,616,3881.83,1471.49,1090,676,1176,64.54,240.79412,16,73.92857143
2017-03-01,566,586,3655.3,1524.95,1058,622,950,62.71,207.36894,107,73.96774194
2017-04-01,621,558,3475.1,1591.88,1055,625,835,63.18,212.11425,62.3,74.43333333
2017-05-01,659,559,3164,1549.44,1029,634,759,64.68,196.78204,92.8,72.98387097
2017-06-01,671,578,3106.16,1352.83,949,652,817,67.94,181.85794,223.5,68.58333333
2017-07-01,688,618,3093.11,1238.29,928,662,805,71.51,219.2362,7.2,66
2017-08-01,705,723,3160.63,1040.68,900,671,757,80.36,181.75391,122,67.83870968
2017-09-01,633,652,3184.11,974.82,891,629,843,86.12,176.41644,182.2,68.51666667
2017-10-01,661,667,3172.03,838.02,874,612,941,84.58,163.95702,143.4,66.43548387
2017-11-01,674,667,3148.39,831.74,862,592,907,77.92,169.6946,129.4,77.75
2017-12-01,703,652,3293.41,802.4,852,615,804,72.35,225.63796,2.1,74.61290323
2018-01-01,694,695,3346.8,776.9,850,614,820,57.58,200.36702,4.2,77.35483871
2018-02-01,681,752,3281.72,830.19,862,614,809,45,228.3427,7.7,69.14285714
2018-03-01,663,774,3299.12,947.07,861,591,846,30.88,197.07812,89.9,71.82258065
2018-04-01,632,763,3260.92,917.18,952.71,541.63,921,31.54,202.4716,156.4,71.11666667
2018-05-01,561,745,3216.03,851.56,889.57,482.36,986,30.62,188.48376,4.4,75.48387097
2018-06-01,497,700,3767.08,884.24,752.45,444.36,968,36.45,183.29033,5.8,69.33333333
2018-07-01,509,827,3824.25,855.36,663.89,442.68,948,37.77,200.56708,141.7,66.82258065
2018-08-01,475,874,3876.89,894.11,762.17,421.5,949,43.33,203.86398,115.1,62.80645161
2018-09-01,392,796,3829.73,933.77,836.25,405.88,924,49.67,177.89685,276.8,67.21666667
2018-10-01,319,656,3658.97,938.29,859.8,391.4,910,45.52,170.00668,200.6,73.20967742
2018-11-01,354,684,3736.3,914.09,849.78,412.37,889,49.81,154.92254,245.3,75
2018-12-01,388,704,3773.36,900.93,848.78,413.93,937,47.69,182.99425,177.1,75.12903226
2019-01-01,381,690,3852.53,910.08,888.15,399.53,1074,51.14,214.63494,7.6,69.41935484
2019-02-01,370,703,3709.49,909.13,924.94,387.31,1114,52.3,241.69837,68.9,68.46428571
2019-03-01,354,703,3299.71,862.49,765.61,374.67,1284,50.99,217.32368,175,67.14516129
2019-04-01,348,654,3553.8,876.07,676.08,369.79,1441,54.91,220.01242,7.5,70.75
2019-05-01,332,591,3488.13,946.76,687.63,357.94,1454,55.84,217.52373,142,68.90322581
2019-06-01,349,552,3443.88,1012.94,733.28,363.49,1492,59.89,228.16665,59.4,75.11666667
