date,cpo_pri,cno_pri,exmaus,oli_pri,rps_pri,pno_pri,sbo_pri,sfo_pri,wti_spri,tmax_degC,tmin_degC,ppt_mm,pet_mm,ws_mps,srad,q_mm,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,HeatIndexC 
2011-10-01,382,528,2.9738,3454.2,616.49,644.0,429.0,595.0,27.14,30.83,21.49,285.6,90.0,1.22,156.75504,195.6,32.58064516,22.74193548,0,10.61935484,6.516129032,48.90322581,22.77419355,31.80645161,31.88709677,27.82258065,5.532258065,35.85483871,76.03225806,0.430645161,1008.774194,27.82258065,8.516129032,154.6612903,3.951612903,
2011-11-01,382,494,2.9299,3490.25,623.72,600.0,409.0,609.0,29.02,30.69,20.17,123.7,110.6,1.38,200.62309,13.1,31.33333333,22.8,0,10.69666667,6.333333333,49.73333333,23.26666667,31.4,31.4,27.25,6.583333333,48.63333333,80.28333333,0.453333333,1008.466667,27.25,7.816666667,182.6833333,4.716666667,
2011-12-01,391,501,2.8788,3342.78,585.76,562.0,421.0,575.0,30.25,30.09,20.29,133.7,114.2,1.92,206.02457,19.5,31.70967742,22.58064516,0,10.51612903,6.290322581,49.5483871,23.08064516,31.48387097,31.48387097,27.41935484,5.580645161,48.85483871,79.30645161,0.382258065,1009.145161,27.41935484,7.967741935,147.3387097,4.080645161,
2012-01-01,396,493,2.8506,2986.24,551.92,565.0,418.0,543.0,29.41,31.71,21.02,83.0,124.3,1.64,248.63628,4.1,32.51612903,22.32258065,0,10.6516129,6.419354839,50.0,22.25806452,31.48387097,31.48387097,27.83870968,5.951612903,38.03225806,74.43548387,0.459677419,1009.241935,27.83870968,8.548387097,145.8548387,4.241935484,
2012-02-01,413,496,2.8242,2747.9,557.22,575.0,437.0,545.0,26.24,31.83,20.94,240.7,137.7,1.32,246.72375,74.2,33.10344828,22.55172414,0,11.31034483,6.413793103,49.93103448,22.62068966,32.29310345,32.32758621,28.05172414,6.086206897,35.0862069,75.17241379,0.422413793,1008.793103,28.05172414,8.827586207,137.6034483,4.206896552,
2012-03-01,401,461,2.8215,2793.15,607.17,622.0,436.0,615.0,28.92,31.59,21.25,241.6,113.2,1.3,197.58226,128.4,32.22580645,22.48387097,0,10.78709677,6.548387097,50.29032258,22.85483871,31.80645161,31.80645161,27.72580645,5.887096774,41.43548387,76.98387097,0.446774194,1009.274194,27.72580645,8.85483871,184.6129032,4.209677419,
2012-04-01,410,444,2.8213,2757.83,612.27,621.0,444.0,628.0,31.03,31.73,21.34,281.4,107.6,1.1,184.91478,173.8,32.73333333,22.9,0,11.04,6.533333333,50.2,23.05,32.48333333,32.48333333,28.06666667,6.55,37.58333333,76.0,0.848333333,1009.333333,28.06666667,9.183333333,210.6666667,4.633333333,
2012-05-01,425,439,2.8189,2587.66,582.56,611.0,433.0,660.0,33.23,31.9,21.05,173.1,112.3,1.37,204.00802,60.8,33.61290323,22.83870968,0,11.37419355,6.903225806,50.93548387,22.66129032,32.80645161,32.85483871,28.59677419,6.048387097,30.20967742,73.16129032,0.701612903,1008.33871,28.59677419,9.290322581,197.3709677,4.274193548,
2012-06-01,408,427,2.7842,2628.83,553.48,602.0,438.0,689.0,30.84,31.46,20.48,107.2,108.3,1.48,184.81875,5.4,33.63333333,22.53333333,0,11.50666667,7.1,50.4,21.7,31.83333333,31.95,28.41666667,7.266666667,23.33333333,70.46666667,0.381666667,1008.566667,28.41666667,9.45,208.4833333,5.333333333,
2012-07-01,392,402,2.7758,2783.9,564.09,623.0,448.0,731.0,26.02,31.1,20.45,163.1,121.3,1.84,213.05851,37.7,33.12903226,22.90322581,0,11.41935484,6.838709677,51.61290323,21.87096774,31.91935484,31.91935484,28.40322581,7.693548387,28.53225806,70.93548387,0.383870968,1008.467742,28.33870968,9.225806452,179.3709677,5.629032258,
