Date,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2012-12,31.51612903,22.87096774,0,10.33548387,6.225806452,51.48387097,23.35483871,31.58064516,31.58064516,27.38709677,4.887096774,50.27419355,81.01612903,0.362903226,1008.709677,27.38709677,7.516129032,113.3225806,3.306451613
2013-01,32.29032258,22.58064516,0,10.56129032,6.419354839,51,22.43548387,31.30645161,31.37096774,27.62903226,6.080645161,42.74193548,76.20967742,0.258064516,1010.387097,27.62903226,8.483870968,139.1612903,4.370967742
2013-02,31.57142857,22.46428571,0,10.1,6.142857143,48.92857143,23.10714286,31.28571429,31.32142857,27.28571429,5.392857143,52.08928571,80.33928571,0.569642857,1009.410714,27.28571429,7.196428571,121.1964286,3.803571429
2013-03,33.74193548,22.90322581,0,11.41935484,6.677419355,50.96774194,23.17741935,33.40322581,33.40322581,28.67741935,5.483870968,30.66129032,75.01612903,0.664516129,1009.790323,28.67741935,9.290322581,129.3387097,3.887096774
2013-04,34,23.4,0,11.18,7.2,50.23333333,23.3,33.63333333,33.63333333,29.06666667,6.266666667,35.13333333,73.71666667,0.596666667,1008.266667,29.06666667,9.083333333,225.65,4.633333333
2013-05,33.87096774,23.41935484,0,11.10322581,7.258064516,50.41935484,23,33.24193548,33.24193548,28.9516129,6.532258065,36.77419355,73.22580645,0.470967742,1008.322581,28.9516129,9.016129032,197.2580645,4.661290323
2013-06,34.43333333,23,0,11.36666667,7.433333333,50.03333333,21.5,32.71666667,32.71666667,29.05,6.95,22.78333333,67.35,0.248333333,1007.583333,29.05,9.183333333,236.2166667,5.083333333
2013-07,33.5483871,22.06451613,0,11.24193548,7.096774194,49.70967742,21.19354839,31.43548387,31.48387097,28.17741935,7.290322581,29.37096774,69.32258065,0.424193548,1008.370968,28.17741935,9.483870968,191.0483871,5.290322581
2013-08,33.16129032,22.61290323,0,11.19354839,6.903225806,49.38709677,21.5483871,31.53225806,31.62903226,28.22580645,7.725806452,32.9516129,70.12903226,0.522580645,1008.854839,28.22580645,9.258064516,189.483871,5.467741935
2013-09,32.4,22.56666667,0,10.71333333,6.8,49.6,21.93333333,31.11666667,31.2,27.65,7.516666667,37.03333333,73.68333333,0.246666667,1009.216667,27.65,9.4,210.1166667,5.4
2013-10,32.4516129,22.83870968,0,11.15806452,6.709677419,48.64516129,22.40322581,31.51612903,31.51612903,27.87096774,6.935483871,39.37096774,74.30645161,0.643548387,1009.903226,27.87096774,8.806451613,228.0806452,5.080645161
2013-11,31.83333333,22.83333333,0,10.75,6.333333333,49.5,23.21666667,31.68333333,31.68333333,27.55,5.916666667,46.86666667,78.78333333,0.606666667,1008.316667,27.55,8.683333333,157.5166667,4.266666667
2013-12,30.64516129,22.70967742,0,9.206451613,6.096774194,48.06451613,23.33870968,30.79032258,30.82258065,26.88709677,6.403225806,57.37096774,82.5483871,0.39516129,1009.241935,26.88709677,7.419354839,124.983871,4.532258065
2014-01,31.61290323,21.35483871,0,10.74193548,6.387096774,47.77419355,21.35483871,29.64516129,30.14516129,27.24193548,7.096774194,40.35483871,74.03225806,0.108064516,1011.435484,26.91935484,8.435483871,84.56451613,5.161290323
2014-02,34.78571429,21.5,0,11.4,6.785714286,52.60714286,20.67857143,31.55357143,31.85714286,28.64285714,6.214285714,22.73214286,67.10714286,0.058928571,1009.928571,28.64285714,9.196428571,114.4107143,4.625
2014-03,34.25806452,22.4516129,0,11.10322581,6.935483871,47.77419355,21.93548387,32.67741935,32.67741935,28.90322581,5.629032258,30.62903226,70.67741935,0.229032258,1010.370968,28.82258065,9.177419355,124.6451613,4.177419355
2014-04,32.63333333,22.93333333,0,11.32,6.433333333,49.26666667,23.65,32.6,32.6,27.93333333,6.2,35.16666667,79.41666667,0.976666667,1009.55,27.93333333,8.516666667,170.9,4.5
2014-05,33.25806452,23.22580645,0,10.70322581,6.64516129,48.35483871,23.66129032,33.37096774,33.37096774,28.5483871,6.241935484,35.61290323,77.25806452,0.622580645,1008.919355,28.5483871,8.919354839,158.4677419,4.5
2014-06,34.06666667,23.26666667,0,11.6,7.566666667,49.53333333,22.05,32.78333333,32.78333333,28.88333333,7.2,22.95,69.31666667,0.288333333,1007.8,28.88333333,9.533333333,192.7333333,5.2
2014-07,33.90322581,22.80645161,0,11.41935484,7.129032258,48.90322581,21.38709677,32.19354839,32.19354839,28.74193548,7.064516129,24.75806452,67.62903226,0.298387097,1009.016129,28.67741935,9.741935484,178.7580645,5.193548387
2014-08,32.87096774,22.70967742,0,11.01290323,6.806451613,49.38709677,22.19354839,31.61290323,31.70967742,27.93548387,6.967741935,37.83870968,73.29032258,0.403225806,1009.66129,27.93548387,9.193548387,191.7741935,5.016129032
2014-09,32.96666667,22.76666667,0,11.32,6.766666667,49.9,22.28333333,31.95,32,28.18333333,6.316666667,33.9,73.23333333,0.343333333,1010.083333,28.18333333,9.666666667,168.8833333,4.683333333
