date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
12/29/10 0:00,30,22,0,11.6,6,44,1:32 AM,1:50 PM,7:17 AM,7:14 PM,22,26,26,23,8,40,95,0,1008,23,2,14,5,malaysia
12/29/10 12:00,30,22,0,11.6,6,44,1:32 AM,1:50 PM,7:17 AM,7:14 PM,23,34,34,30,4,57,64,0.5,1007,30,10,302,3,malaysia
12/30/10 0:00,31,21,0,8.8,6,37,2:24 AM,2:41 PM,7:17 AM,7:14 PM,21,25,25,22,6,39,94,0,1009,22,2,29,3,malaysia
12/30/10 12:00,31,21,0,8.8,6,37,2:24 AM,2:41 PM,7:17 AM,7:14 PM,23,35,35,31,6,44,64,0.6,1008,31,9,15,5,malaysia
12/31/10 0:00,32,22,0,10.2,6,30,3:19 AM,3:35 PM,7:18 AM,7:15 PM,22,25,25,22,6,100,98,0,1009,22,0,2,3,malaysia
12/31/10 12:00,32,22,0,10.2,6,30,3:19 AM,3:35 PM,7:18 AM,7:15 PM,22,37,37,32,5,39,55,0.2,1007,32,9,49,5,malaysia
1/1/11 0:00,32,23,0,10.2,6,24,4:14 AM,4:30 PM,7:18 AM,7:15 PM,22,25,25,23,15,37,96,0,1008,23,2,40,9,malaysia
1/1/11 12:00,32,23,0,10.2,6,24,4:14 AM,4:30 PM,7:18 AM,7:15 PM,24,38,38,32,5,74,62,0.2,1006,32,10,92,4,malaysia
1/2/11 0:00,31,23,0,8.8,6,17,5:12 AM,5:27 PM,7:19 AM,7:16 PM,23,25,25,23,6,100,98,0,1008,23,0,18,4,malaysia
1/2/11 12:00,31,23,0,8.8,6,17,5:12 AM,5:27 PM,7:19 AM,7:16 PM,23,34,34,30,3,44,68,0.5,1007,30,5,77,3,malaysia
1/3/11 0:00,29,23,0,10.2,6,10,6:08 AM,6:22 PM,7:19 AM,7:16 PM,23,25,25,23,2,100,99,4,1009,23,7,25,1,malaysia
1/3/11 12:00,29,23,0,10.2,6,10,6:08 AM,6:22 PM,7:19 AM,7:16 PM,24,33,33,28,7,39,79,0,1009,28,10,21,6,malaysia
1/4/11 0:00,32,22,0,11.6,6,3,7:02 AM,7:17 PM,7:20 AM,7:17 PM,22,25,25,23,5,100,97,0,1008,23,0,50,3,malaysia
1/4/11 12:00,32,22,0,11.6,6,3,7:02 AM,7:17 PM,7:20 AM,7:17 PM,24,39,39,32,7,36,62,0.5,1007,32,9,27,6,malaysia
1/5/11 0:00,33,22,0,11.6,6,4,7:53 AM,8:07 PM,7:20 AM,7:17 PM,22,25,25,23,9,23,95,0.1,1008,23,2,49,5,malaysia
1/5/11 12:00,33,22,0,11.6,6,4,7:53 AM,8:07 PM,7:20 AM,7:17 PM,24,38,38,33,4,17,59,0.7,1006,33,9,307,4,malaysia
1/6/11 0:00,31,23,0,10.2,6,10,8:40 AM,8:55 PM,7:21 AM,7:17 PM,23,26,26,24,4,44,95,0,1009,24,2,359,2,malaysia
1/6/11 12:00,31,23,0,10.2,6,10,8:40 AM,8:55 PM,7:21 AM,7:17 PM,24,37,37,31,5,38,68,1,1008,31,10,356,4,malaysia
1/7/11 0:00,32,21,0,11.6,6,17,9:25 AM,9:41 PM,7:21 AM,7:18 PM,22,25,25,23,5,36,96,0.1,1010,23,2,47,3,malaysia
1/7/11 12:00,32,21,0,11.6,6,17,9:25 AM,9:41 PM,7:21 AM,7:18 PM,22,36,36,32,6,51,59,0.3,1009,32,10,32,5,malaysia
1/8/11 0:00,28,22,0,8.8,5,24,10:07 AM,10:23 PM,7:21 AM,7:18 PM,22,25,25,23,4,54,96,0,1010,23,2,54,3,malaysia
1/8/11 12:00,28,22,0,8.8,5,24,10:07 AM,10:23 PM,7:21 AM,7:18 PM,24,32,32,28,6,39,79,0.3,1008,28,9,4,5,malaysia
1/9/11 0:00,31,21,0,10.2,6,31,10:46 AM,11:05 PM,7:22 AM,7:19 PM,22,25,25,22,11,100,97,0,1009,22,0,20,7,malaysia
1/9/11 12:00,31,21,0,10.2,6,31,10:46 AM,11:05 PM,7:22 AM,7:19 PM,22,35,35,31,4,68,57,0.1,1008,31,10,325,3,malaysia
1/10/11 0:00,29,22,0,8.8,6,37,11:26 AM,11:47 PM,7:22 AM,7:19 PM,22,25,25,23,2,35,96,0.1,1009,23,2,1,1,malaysia
1/10/11 12:00,29,22,0,8.8,6,37,11:26 AM,11:47 PM,7:22 AM,7:19 PM,23,32,32,29,8,66,70,0.3,1009,29,10,256,7,malaysia
1/11/11 0:00,30,22,0,8.8,6,44,12:05 PM,No moonset,7:23 AM,7:20 PM,22,25,25,22,5,100,98,0,1009,22,0,274,3,malaysia
1/11/11 12:00,30,22,0,8.8,6,44,12:05 PM,No moonset,7:23 AM,7:20 PM,23,34,34,30,8,26,65,0.2,1007,30,9,286,7,malaysia
1/12/11 0:00,31,21,0,8.8,6,51,12:46 PM,12:29 AM,7:23 AM,7:20 PM,22,25,25,22,2,37,96,0,1009,22,2,116,1,malaysia
1/12/11 12:00,31,21,0,8.8,6,51,12:46 PM,12:29 AM,7:23 AM,7:20 PM,24,36,36,31,10,18,68,1.5,1007,31,9,309,9,malaysia
1/13/11 0:00,30,22,0,10.2,6,58,1:29 PM,1:13 AM,7:23 AM,7:21 PM,22,25,25,22,4,21,96,0.2,1009,22,9,42,2,malaysia
1/13/11 12:00,30,22,0,10.2,6,58,1:29 PM,1:13 AM,7:23 AM,7:21 PM,25,36,36,30,5,34,76,0.2,1008,30,10,233,4,malaysia
1/14/11 0:00,29,23,0,8.8,6,64,2:15 PM,1:59 AM,7:24 AM,7:21 PM,23,26,26,23,3,71,98,1.8,1009,23,10,156,2,malaysia
1/14/11 12:00,29,23,0,8.8,6,64,2:15 PM,1:59 AM,7:24 AM,7:21 PM,25,34,34,29,0,46,77,1.1,1009,29,9,208,0,malaysia
1/15/11 0:00,30,22,0,11.6,6,71,3:05 PM,2:49 AM,7:24 AM,7:21 PM,23,26,26,23,4,56,97,0.3,1010,23,5,93,2,malaysia
1/15/11 12:00,30,22,0,11.6,6,71,3:05 PM,2:49 AM,7:24 AM,7:21 PM,23,35,35,30,0,47,68,0,1009,30,10,120,0,malaysia
1/16/11 0:00,27,22,0,8.8,5,78,3:59 PM,3:42 AM,7:24 AM,7:22 PM,22,25,25,22,3,60,98,2.7,1010,22,7,22,1,malaysia
1/16/11 12:00,27,22,0,8.8,5,78,3:59 PM,3:42 AM,7:24 AM,7:22 PM,24,30,30,26,4,46,88,0.6,1009,26,5,64,4,malaysia
1/17/11 0:00,30,21,0,11.6,6,85,4:56 PM,4:37 AM,7:25 AM,7:22 PM,21,22,24,22,4,30,96,0.2,1011,22,9,66,2,malaysia
1/17/11 12:00,30,21,0,11.6,6,85,4:56 PM,4:37 AM,7:25 AM,7:22 PM,23,34,34,30,3,47,64,0.1,1009,30,10,55,3,malaysia
1/18/11 0:00,33,21,0,11.6,6,92,5:55 PM,5:36 AM,7:25 AM,7:23 PM,21,22,25,22,2,37,97,0.5,1011,22,9,5,1,malaysia
1/18/11 12:00,33,21,0,11.6,6,92,5:55 PM,5:36 AM,7:25 AM,7:23 PM,21,37,37,33,2,15,50,0.1,1009,33,10,32,2,malaysia
1/19/11 0:00,32,21,0,11.6,6,98,6:54 PM,6:33 AM,7:25 AM,7:23 PM,21,22,24,22,7,12,95,1.1,1010,22,9,28,4,malaysia
1/19/11 12:00,32,21,0,11.6,6,98,6:54 PM,6:33 AM,7:25 AM,7:23 PM,22,36,36,32,2,25,55,0.3,1008,32,9,193,2,malaysia
1/20/11 0:00,32,21,0,11.6,7,95,7:52 PM,7:30 AM,7:25 AM,7:23 PM,20,21,24,21,8,32,93,0,1010,21,10,70,4,malaysia
1/20/11 12:00,32,21,0,11.6,7,95,7:52 PM,7:30 AM,7:25 AM,7:23 PM,22,36,36,32,3,28,53,0.2,1008,32,9,3,3,malaysia
1/21/11 0:00,32,22,0,11.6,7,88,8:48 PM,8:24 AM,7:26 AM,7:24 PM,21,22,24,22,8,53,93,0,1010,22,10,49,4,malaysia
1/21/11 12:00,32,22,0,11.6,7,88,8:48 PM,8:24 AM,7:26 AM,7:24 PM,21,35,35,32,3,38,53,0.1,1008,32,10,277,3,malaysia
1/22/11 0:00,32,21,0,11.6,7,81,9:42 PM,9:17 AM,7:26 AM,7:24 PM,20,22,24,22,5,39,91,0,1010,22,10,83,3,malaysia
1/22/11 12:00,32,21,0,11.6,7,81,9:42 PM,9:17 AM,7:26 AM,7:24 PM,22,35,35,32,2,46,56,0,1009,32,10,241,2,malaysia
1/23/11 0:00,30,22,0,11.6,6,75,10:34 PM,10:07 AM,7:26 AM,7:24 PM,22,25,25,23,3,28,95,0.6,1011,23,9,48,1,malaysia
1/23/11 12:00,30,22,0,11.6,6,75,10:34 PM,10:07 AM,7:26 AM,7:24 PM,25,36,36,30,2,38,71,1.3,1009,30,10,182,2,malaysia
1/24/11 0:00,32,22,0,11.6,6,68,11:28 PM,10:57 AM,7:26 AM,7:25 PM,22,22,25,22,8,100,99,0,1011,22,0,41,4,malaysia
1/24/11 12:00,32,22,0,11.6,6,68,11:28 PM,10:57 AM,7:26 AM,7:25 PM,23,37,37,32,4,46,59,0.2,1009,32,9,38,3,malaysia
1/25/11 0:00,29,22,0,10.2,6,61,No moonrise,11:48 AM,7:26 AM,7:25 PM,22,25,25,23,4,40,97,0,1011,23,2,57,2,malaysia
1/25/11 12:00,29,22,0,10.2,6,61,No moonrise,11:48 AM,7:26 AM,7:25 PM,23,32,32,29,9,72,71,0.1,1010,29,10,67,8,malaysia
1/26/11 0:00,29,22,0,6,6,54,12:20 AM,12:39 PM,7:27 AM,7:25 PM,22,25,25,23,5,50,96,0,1011,23,2,26,4,malaysia
1/26/11 12:00,29,22,0,6,6,54,12:20 AM,12:39 PM,7:27 AM,7:25 PM,24,33,33,29,5,91,74,0,1010,29,10,50,5,malaysia
1/27/11 0:00,31,22,0,7.4,6,47,1:15 AM,1:32 PM,7:27 AM,7:25 PM,23,25,25,23,6,71,99,0.3,1011,23,5,13,4,malaysia
1/27/11 12:00,31,22,0,7.4,6,47,1:15 AM,1:32 PM,7:27 AM,7:25 PM,23,36,36,31,11,65,62,0.4,1010,31,10,41,10,malaysia
1/28/11 0:00,30,22,0,7.4,6,41,2:10 AM,2:26 PM,7:27 AM,7:26 PM,22,22,25,22,4,100,99,0,1011,22,0,360,2,malaysia
1/28/11 12:00,30,22,0,7.4,6,41,2:10 AM,2:26 PM,7:27 AM,7:26 PM,24,35,35,30,9,68,73,0,1009,30,10,55,8,malaysia
1/29/11 0:00,28,22,0,6,6,34,3:06 AM,3:22 PM,7:27 AM,7:26 PM,22,25,25,23,3,52,98,0.3,1010,23,10,324,2,malaysia
1/29/11 12:00,28,22,0,6,6,34,3:06 AM,3:22 PM,7:27 AM,7:26 PM,24,32,32,28,6,77,80,0,1010,28,10,45,5,malaysia
1/30/11 0:00,26,22,0,7.4,5,27,4:02 AM,4:16 PM,7:27 AM,7:26 PM,22,22,25,22,8,74,99,0.2,1011,22,5,356,5,malaysia
1/30/11 12:00,26,22,0,7.4,5,27,4:02 AM,4:16 PM,7:27 AM,7:26 PM,24,30,30,26,4,78,90,0.3,1011,26,2,336,3,malaysia
1/31/11 0:00,26,22,0,10.2,5,20,4:56 AM,5:10 PM,7:27 AM,7:26 PM,22,25,25,22,4,85,100,0.4,1011,22,2,327,3,malaysia
1/31/11 12:00,26,22,0,10.2,5,20,4:56 AM,5:10 PM,7:27 AM,7:26 PM,24,30,30,26,11,54,85,0.4,1011,26,10,62,9,malaysia
2/1/11 0:00,30,21,0,8.8,6,14,5:48 AM,6:01 PM,7:27 AM,7:27 PM,22,25,25,22,2,100,99,0,1011,22,0,272,1,malaysia
2/1/11 12:00,30,21,0,8.8,6,14,5:48 AM,6:01 PM,7:27 AM,7:27 PM,23,35,35,30,7,98,66,0.2,1011,30,10,69,6,malaysia
2/2/11 0:00,30,21,0,11.6,6,7,6:35 AM,6:50 PM,7:27 AM,7:27 PM,21,25,25,22,8,38,97,0,1012,22,2,22,5,malaysia
2/2/11 12:00,30,21,0,11.6,6,7,6:35 AM,6:50 PM,7:27 AM,7:27 PM,22,34,34,30,2,56,61,0.1,1010,30,10,96,2,malaysia
2/3/11 0:00,33,21,0,11.6,6,0,7:21 AM,7:36 PM,7:28 AM,7:27 PM,21,22,24,22,13,100,98,0,1011,22,0,60,8,malaysia
2/3/11 12:00,33,21,0,11.6,6,0,7:21 AM,7:36 PM,7:28 AM,7:27 PM,22,37,37,33,3,29,52,0,1010,33,10,86,3,malaysia
2/4/11 0:00,33,22,0,11.6,6,7,8:03 AM,8:19 PM,7:28 AM,7:27 PM,22,25,25,22,2,33,96,0.2,1011,22,9,66,1,malaysia
2/4/11 12:00,33,22,0,11.6,6,7,8:03 AM,8:19 PM,7:28 AM,7:27 PM,22,37,37,33,4,21,51,0.2,1010,33,9,52,3,malaysia
2/5/11 0:00,32,21,0,11.6,6,13,8:44 AM,9:02 PM,7:28 AM,7:27 PM,21,25,25,22,5,34,95,0,1011,22,2,44,3,malaysia
2/5/11 12:00,32,21,0,11.6,6,13,8:44 AM,9:02 PM,7:28 AM,7:27 PM,22,37,37,32,2,52,56,0.1,1010,32,10,46,1,malaysia
2/6/11 0:00,32,21,0,11.6,6,20,9:24 AM,9:44 PM,7:28 AM,7:27 PM,21,22,24,22,4,16,94,0,1010,22,2,37,3,malaysia
2/6/11 12:00,32,21,0,11.6,6,20,9:24 AM,9:44 PM,7:28 AM,7:27 PM,22,36,36,32,7,14,55,0,1009,32,10,59,6,malaysia
2/7/11 0:00,31,21,0,11.6,6,27,10:03 AM,10:25 PM,7:28 AM,7:28 PM,21,25,25,22,5,25,95,0,1010,22,2,35,3,malaysia
2/7/11 12:00,31,21,0,11.6,6,27,10:03 AM,10:25 PM,7:28 AM,7:28 PM,24,37,37,31,2,53,63,0.2,1008,31,10,2,2,malaysia
2/8/11 0:00,33,21,0,11.6,6,34,10:43 AM,11:08 PM,7:28 AM,7:28 PM,22,25,25,22,5,11,95,0.3,1008,22,2,57,3,malaysia
2/8/11 12:00,33,21,0,11.6,6,34,10:43 AM,11:08 PM,7:28 AM,7:28 PM,22,37,37,33,3,19,53,0.1,1006,33,10,285,3,malaysia
2/9/11 0:00,33,22,0,11.6,6,41,11:25 AM,11:53 PM,7:28 AM,7:28 PM,22,25,25,23,5,9,96,0.9,1006,23,9,51,2,malaysia
2/9/11 12:00,33,22,0,11.6,6,41,11:25 AM,11:53 PM,7:28 AM,7:28 PM,23,38,38,33,3,25,57,0,1006,33,10,225,3,malaysia
2/10/11 0:00,35,22,0,11.6,7,47,12:08 PM,No moonset,7:28 AM,7:28 PM,22,26,26,23,6,9,94,0,1007,23,10,100,4,malaysia
2/10/11 12:00,35,22,0,11.6,7,47,12:08 PM,No moonset,7:28 AM,7:28 PM,22,40,40,35,5,9,46,0,1007,35,10,222,4,malaysia
2/11/11 0:00,34,22,0,11.6,7,54,12:56 PM,12:40 AM,7:27 AM,7:28 PM,21,25,25,23,5,9,89,0.1,1009,23,10,73,3,malaysia
2/11/11 12:00,34,22,0,11.6,7,54,12:56 PM,12:40 AM,7:27 AM,7:28 PM,22,39,39,34,4,17,51,0,1008,34,10,239,3,malaysia
2/12/11 0:00,33,22,0,11.6,6,61,1:46 PM,1:30 AM,7:27 AM,7:28 PM,21,25,25,22,4,41,91,0.2,1009,22,9,78,2,malaysia
2/12/11 12:00,33,22,0,11.6,6,61,1:46 PM,1:30 AM,7:27 AM,7:28 PM,24,39,39,33,1,30,61,1,1008,33,9,2,1,malaysia
2/13/11 0:00,33,23,0,11.6,6,68,2:40 PM,2:23 AM,7:27 AM,7:28 PM,22,25,25,23,2,24,94,0.3,1009,23,9,68,1,malaysia
2/13/11 12:00,33,23,0,11.6,6,68,2:40 PM,2:23 AM,7:27 AM,7:28 PM,24,39,39,33,2,58,62,0,1007,33,10,356,2,malaysia
2/14/11 0:00,35,22,0,11.6,6,74,3:37 PM,3:19 AM,7:27 AM,7:28 PM,22,25,25,23,4,44,97,0,1009,23,2,56,2,malaysia
2/14/11 12:00,35,22,0,11.6,6,74,3:37 PM,3:19 AM,7:27 AM,7:28 PM,21,40,40,35,2,11,44,0,1007,35,10,35,2,malaysia
2/15/11 0:00,33,22,0,11.6,6,81,4:35 PM,4:15 AM,7:27 AM,7:28 PM,21,25,25,22,5,40,96,1.3,1009,22,10,46,3,malaysia
2/15/11 12:00,33,22,0,11.6,6,81,4:35 PM,4:15 AM,7:27 AM,7:28 PM,23,39,39,33,1,29,56,0.4,1009,33,9,75,1,malaysia
2/16/11 0:00,33,23,0,11.6,6,88,5:33 PM,5:12 AM,7:27 AM,7:28 PM,22,25,25,23,9,32,96,0.2,1011,23,9,42,5,malaysia
2/16/11 12:00,33,23,0,11.6,6,88,5:33 PM,5:12 AM,7:27 AM,7:28 PM,23,39,39,33,3,38,55,0,1010,33,10,15,3,malaysia
2/17/11 0:00,32,22,0,11.6,7,95,6:30 PM,6:08 AM,7:27 AM,7:28 PM,22,26,26,23,4,19,93,0,1012,23,10,33,2,malaysia
2/17/11 12:00,32,22,0,11.6,7,95,6:30 PM,6:08 AM,7:27 AM,7:28 PM,24,38,38,32,3,38,61,0.2,1010,32,9,40,3,malaysia
2/18/11 0:00,33,22,0,11.6,6,100,7:27 PM,7:02 AM,7:27 AM,7:28 PM,22,25,25,23,6,9,92,0.9,1010,23,9,18,3,malaysia
2/18/11 12:00,33,22,0,11.6,6,100,7:27 PM,7:02 AM,7:27 AM,7:28 PM,22,38,38,33,3,36,53,1,1009,33,9,19,3,malaysia
2/19/11 0:00,32,21,0,11.6,6,92,8:21 PM,7:55 AM,7:27 AM,7:28 PM,21,25,25,22,2,30,96,0,1011,22,2,156,1,malaysia
2/19/11 12:00,32,21,0,11.6,6,92,8:21 PM,7:55 AM,7:27 AM,7:28 PM,23,38,38,32,1,23,58,0.8,1010,32,9,348,1,malaysia
2/20/11 0:00,35,22,0,10.2,6,85,9:16 PM,8:46 AM,7:26 AM,7:28 PM,21,25,25,23,1,75,92,0.7,1012,23,10,75,1,malaysia
2/20/11 12:00,35,22,0,10.2,6,85,9:16 PM,8:46 AM,7:26 AM,7:28 PM,20,38,38,35,4,31,42,0.1,1011,35,10,294,3,malaysia
2/21/11 0:00,34,21,0,11.6,6,78,10:11 PM,9:39 AM,7:26 AM,7:28 PM,20,25,25,22,8,82,90,0,1012,22,10,18,4,malaysia
2/21/11 12:00,34,21,0,11.6,6,78,10:11 PM,9:39 AM,7:26 AM,7:28 PM,19,36,36,34,9,12,41,0,1008,34,10,355,8,malaysia
2/22/11 0:00,33,20,0,11.6,7,71,11:07 PM,10:31 AM,7:26 AM,7:28 PM,18,21,24,21,15,48,83,0,1012,21,10,25,8,malaysia
2/22/11 12:00,33,20,0,11.6,7,71,11:07 PM,10:31 AM,7:26 AM,7:28 PM,21,37,37,33,1,44,50,0.1,1009,33,10,341,1,malaysia
2/23/11 0:00,31,22,0,11.6,6,65,No moonrise,11:26 AM,7:26 AM,7:28 PM,22,25,25,23,4,59,94,1.1,1010,23,10,74,2,malaysia
2/23/11 12:00,31,22,0,11.6,6,65,No moonrise,11:26 AM,7:26 AM,7:28 PM,25,38,38,31,3,45,71,0.2,1009,31,9,40,3,malaysia
2/24/11 0:00,33,22,0,11.6,6,58,12:04 AM,12:21 PM,7:26 AM,7:28 PM,22,25,25,22,9,29,97,0.2,1010,22,9,26,5,malaysia
2/24/11 12:00,33,22,0,11.6,6,58,12:04 AM,12:21 PM,7:26 AM,7:28 PM,24,39,39,33,5,35,61,0,1008,33,10,190,5,malaysia
2/25/11 0:00,31,22,0,11.6,6,51,1:02 AM,1:17 PM,7:25 AM,7:28 PM,22,25,25,23,2,19,95,0,1010,23,2,301,1,malaysia
2/25/11 12:00,31,22,0,11.6,6,51,1:02 AM,1:17 PM,7:25 AM,7:28 PM,25,37,37,31,5,43,69,0,1008,31,10,224,4,malaysia
2/26/11 0:00,33,22,0,11.6,6,44,1:58 AM,2:13 PM,7:25 AM,7:28 PM,22,26,26,23,5,29,94,0.1,1009,23,2,56,3,malaysia
2/26/11 12:00,33,22,0,11.6,6,44,1:58 AM,2:13 PM,7:25 AM,7:28 PM,24,39,39,33,2,35,57,0,1008,33,10,179,1,malaysia
2/27/11 0:00,32,23,0,7.4,6,38,2:53 AM,3:07 PM,7:25 AM,7:28 PM,21,25,25,23,7,53,89,0.2,1010,23,10,63,4,malaysia
2/27/11 12:00,32,23,0,7.4,6,38,2:53 AM,3:07 PM,7:25 AM,7:28 PM,23,38,38,32,3,41,61,0,1010,32,10,148,3,malaysia
2/28/11 0:00,33,22,0,11.6,6,31,3:45 AM,3:58 PM,7:25 AM,7:28 PM,23,27,27,24,6,73,90,0.4,1010,24,8,107,4,malaysia
2/28/11 12:00,33,22,0,11.6,6,31,3:45 AM,3:58 PM,7:25 AM,7:28 PM,22,37,37,33,2,19,51,0.2,1008,33,9,333,2,malaysia
3/1/11 0:00,30,22,0,11.6,6,24,4:33 AM,4:47 PM,7:24 AM,7:28 PM,21,25,25,22,4,17,96,1.1,1010,22,9,84,2,malaysia
